Date,Feed1,Feed2,Feed3,Feed4,Feed5,Target
2000.3.26 0:50,6.680537081,1.025054123,48.04324203,5.174655041,141.0449034,6.381545
2000.3.26 1:00,6.6361988,1.039032349,48.04318186,5.163185208,141.0773929,6.387333333
2000.3.26 1:10,6.660787775,1.020380998,48.032768,5.142172442,141.0079539,6.390448333
2000.3.26 1:20,6.637768012,1.065136665,48.02318175,5.118452357,141.0744396,6.38678
2000.3.26 1:30,6.716983127,1.015495166,48.00283463,5.182116034,141.0693125,6.387
2000.3.26 1:40,6.647061142,1.085077884,48.05118845,5.199685286,141.0622466,6.386039259
2000.3.26 1:50,6.657963657,1.00638923,48.09126685,5.112484675,141.0669104,6.384411852
2000.3.26 2:00,6.680217168,1.00291965,48.00543381,5.170846486,141.0780159,6.387124444
2000.3.26 2:10,6.643712232,1.031247136,48.06956254,5.173445236,141.092737,6.37904037
2000.3.26 2:20,6.699503711,1.091115421,48.04833806,5.118133084,141.0722699,6.379974629
2000.3.26 2:30,6.652798229,1.038785881,48.00825636,5.181739712,141.0625922,6.376560555
2000.3.26 2:40,6.672271017,1.0761955,48.07850025,5.155048633,141.0425363,6.374821481
2000.3.26 2:50,6.718711428,1.064621989,48.06345613,5.122250331,141.0004547,6.379202406
2000.3.26 3:00,6.639791583,1.076027727,48.01522419,5.196649234,141.0137983,6.364
2000.3.26 3:10,6.689834976,1.049401647,48.05261453,5.132463557,141.0044962,6.374401563
2000.3.26 3:20,6.63778679,1.064523488,48.02911077,5.110094478,141.0703849,6.344518127
2000.3.26 3:30,6.714617065,1.041236723,48.04616098,5.183937578,141.0130793,6.34356969
2000.3.26 3:40,6.719581114,1.095105323,48.00265582,5.173213734,141.0896537,6.351746253
2000.3.26 3:50,6.688783812,1.07846286,48.0074693,5.125437396,141.0887905,6.355029483
2000.3.26 4:00,6.657303836,1.026553707,48.05423974,5.123292382,141.0056813,6.355971046
2000.3.26 4:10,6.667563125,1.035122798,48.0739293,5.188821945,141.015113,6.361030943
2000.3.26 4:20,6.717243176,1.081951378,48.06021077,5.125626903,141.0660698,6.360302506
2000.3.26 4:30,6.710729248,1.00423429,48.01999205,5.145723758,141.0551704,6.362360736
2000.3.26 4:40,6.657410506,1.075270774,48.06883902,5.173913709,141.0700266,6.363972299
2000.3.26 4:50,6.668458335,1.035512701,48.04138487,5.159500745,141.0954037,6.361132195
2000.3.26 5:00,6.655977004,1.015362706,48.01625492,5.13306583,141.0975304,6.365858759
2000.3.26 5:10,6.730609049,1.01974563,48.01949273,5.112141971,141.0740255,6.361236989
2000.3.26 5:20,6.678879127,1.012926465,48.02744208,5.108216651,141.093834,6.363848552
2000.3.26 5:30,6.70387528,1.063029089,48.0479014,5.17004493,141.0485766,6.364013448
2000.3.26 5:40,6.693562969,1.032967783,48.01943678,5.147096388,141.0371025,6.369631678
2000.3.26 5:50,6.726277098,1.011420566,48.09899681,5.105304675,141.0131962,6.367458241
2000.3.26 6:00,6.716711976,1.01259876,48.03421799,5.184183774,141.0328156,6.366063138
2000.3.26 6:10,6.692917711,1.042097572,48.07697173,5.175013249,141.0539235,6.367786368
2000.3.26 6:20,6.73204894,1.097084462,48.07208114,5.107461182,141.0634684,6.369619598
2000.3.26 6:30,6.711825666,1.062207905,48.01444109,5.171074806,141.0770207,6.373231161
2000.3.26 6:40,6.727139212,1.096071806,48.00313831,5.18381816,141.0754194,6.374396057
2000.3.26 6:50,6.698308675,1.005093574,48.01935384,5.112547109,141.0254442,6.374562621
2000.3.26 7:00,6.652009192,1.056518318,48.04853786,5.173477016,141.0615034,6.380957517
2000.3.26 7:10,6.689956131,1.081362081,48.00276422,5.171675325,141.0243141,6.380342414
2000.3.26 7:20,6.722072361,1.061038463,48.05261887,5.185732687,141.0370244,6.38128731
2000.3.26 7:30,6.726917159,1.099573657,48.02349078,5.104796081,141.0577354,6.37366054
2000.3.26 7:40,6.70490441,1.088624578,48.046028,5.166399974,141.0767253,6.372267103
2000.3.26 7:50,6.685928157,1.097102012,48.04924789,5.109603863,141.0640418,6.372318667
2000.3.26 8:00,6.684689867,1.033069372,48.08711637,5.15944145,141.0066247,6.367921897
2000.3.26 8:10,6.697126515,1.016010113,48.07563017,5.132972403,141.002978,6.364190126
2000.3.26 8:20,6.686312436,1.084323618,48.01881189,5.152161564,141.0683317,6.36324169
2000.3.26 8:30,6.688133453,1.020053708,48.06641812,5.12757076,141.0413124,6.359511586
2000.3.26 8:40,6.707895822,1.076902511,48.06795954,5.13729846,141.0900397,6.362456483
2000.3.26 8:50,6.693655074,1.000559769,48.01885,5.146746218,141.0253063,6.359616379
2000.3.26 9:00,6.647350159,1.026686159,48.0103925,5.119741874,141.0930137,6.359226276
2000.3.26 9:10,6.714512516,1.054142285,48.06217516,5.16740161,141.0220648,6.357276172
2000.3.26 9:20,6.635143126,1.084025113,48.04400364,5.170052249,141.0124309,6.359331069
2000.3.26 9:30,6.71179545,1.069499342,48.06104455,5.134551048,141.0358126,6.356379299
2000.3.26 9:40,6.658346801,1.036781902,48.06936558,5.142085734,141.07468,6.359769195
2000.3.26 9:50,6.667204639,1.073867745,48.0075344,5.121766558,141.019972,6.361492425
2000.3.26 10:00,6.640060387,1.048573801,48.06754472,5.110078743,141.090437,6.362548989
2000.3.26 10:10,6.647071172,1.004766059,48.0587333,5.119334287,141.0329694,6.363713885
2000.3.26 10:20,6.684543215,1.090953207,48.0786317,5.187724881,141.0496345,6.363430448
2000.3.26 10:30,6.634513823,1.010769769,48.07677139,5.108177644,141.0504383,6.363597012
2000.3.26 10:40,6.658300004,1.080240643,48.01858924,5.140891982,141.0429106,6.362870241
2000.3.26 10:50,6.654223744,1.017244709,48.04636054,5.143486414,141.0506328,6.364925138
2000.3.26 11:00,6.684140435,1.066106644,48.05703836,5.151399271,141.0526074,6.361418368
2000.3.26 11:10,6.650091046,1.002742373,48.04802914,5.169835986,141.0925447,6.363696598
2000.3.26 11:20,6.652261668,1.083688267,48.04629157,5.191795072,141.0016635,6.362748161
2000.3.26 11:30,6.718802833,1.067158326,48.05883438,5.100812249,141.0393594,6.365803057
